Minority,Prompts,ExpertsExplanation
Chakma,"""বলছিনা কয়েক মিনিট ওয়েট করো  উপজাতিং ঈদ বৃষ্টিতেং মাটিং হয়ে  গেছেং? এইং নেং চেকং Kafi""    ","এই বাক্যটি উপহাসমূলক এবং বিদ্রূপাত্মক ভাষায় লেখা, যা আদিবাসী বা ক্ষুদ্র নৃগোষ্ঠীর বিরুদ্ধে ব্যবহৃত হয়। বিশেষ করে ""উপজাতি"" শব্দটি এবং বাক্যের ঢঙ তাদের পোশাক, সংস্কৃতি, বা উচ্চারণকে ব্যঙ্গ করার জন্য ব্যবহৃত হয়েছে বলে মনে হয়। এটি স্পষ্টতই একটি বিদ্বেষমূলক বক্তব্য, যা জাতিগত বা সাংস্কৃতিক বৈচিত্র্যের প্রতি অসম্মান প্রদর্শন করে। এমন ভাষা ব্যবহার শুধু অপমানজনক নয়, বরং এটি সমাজে বৈষম্য এবং ঘৃণা ছড়ানোর ক্ষেত্র তৈরি করে।  এই ধরনের বক্তব্য ক্ষুদ্র নৃগোষ্ঠীগুলোর প্রতি অপমান এবং তাদের সাংস্কৃতিক পরিচয়ের প্রতি অবজ্ঞার উদাহরণ। এটি শুধু একটি গোষ্ঠীকে হেয় করা নয়, বরং সামগ্রিকভাবে বৈচিত্র্যপূর্ণ সমাজে একতা এবং সৌহার্দ্য নষ্ট করে। বিদ্বেষমূলক বক্তব্যকে প্রতিহত করতে শিক্ষা ও জনসচেতনতা বৃদ্ধি অপরিহার্য। সংস্কৃতি এবং জাতিগত বৈচিত্র্যকে সম্মান জানানো এবং প্রতিটি সম্প্রদায়কে মর্যাদার সঙ্গে সমান অধিকার দেওয়া একটি সুস্থ ও ন্যায়সংগত সমাজ গড়ার জন্য অত্যন্ত গুরুত্বপূর্ণ।"
Chakma,"""উপজাতিং মামলাং দিয়েছে  আমারং নামেং এখনং আমিং  আলুটিলাং গুহায়ং পলাতকং।""     "," উক্ত বাক্যটি (অর্থ: ""উপজাতি মামলা দিয়েছে, আমার নামে, এখন আমি আলুটিলা গুহায় পলাতক"") মজার ছলে বা ব্যঙ্গাত্মকভাবে বলা হয়েছে বলে মনে হয়। এর মাধ্যমে কথক হয়তো নিজেকে ""পলাতক"" হিসেবে উপস্থাপন করে পরিস্থিতি হাস্যকরভাবে বোঝাতে চেয়েছেন, কিন্তু বাক্যটিতে ""উপজাতি"" শব্দটি ব্যবহার করার ঢঙ এবং প্রেক্ষাপট দেখে বোঝা যায় যে এটি আদিবাসী সম্প্রদায়কে ছোট করার জন্য ব্যবহার করা হতে পারে। এটি আদিবাসী জনগোষ্ঠীর বিষয়ে অবজ্ঞাপূর্ণ দৃষ্টিভঙ্গি প্রকাশ করে, যা সংবেদনশীল ও দায়িত্বশীল নয়।  এ ধরনের ভাষা সামাজিক বিভাজন এবং সংস্কৃতিগত অবজ্ঞাকে উৎসাহিত করে। আদিবাসী বা ক্ষুদ্র নৃগোষ্ঠীর প্রতি সম্মান প্রদর্শন করা এবং তাদের সম্পর্কে বিদ্রূপমূলক বা হেয় মন্তব্য এড়ানো জরুরি। এই ধরনের বক্তব্য বন্ধ করার জন্য সচেতনতা বৃদ্ধি এবং সকলের প্রতি সমানভাবে সম্মান প্রদর্শনের সংস্কৃতি গড়ে তোলার প্রয়োজন। পাশাপাশি, এমন বিদ্রূপাত্মক মন্তব্যের ফলে ক্ষতিগ্রস্ত হতে পারে এমন সম্প্রদায়ের অনুভূতিকে গুরুত্ব দেওয়া উচিত।"
Chakma,"""Never spoke a word during the massacre ekhon  ashche eshob silly issues niye dorod dekhaite.  Egula upore uthe niche namar jonno-""      "," This statement reflects frustration over perceived hypocrisy or misplaced priorities in discussions surrounding serious issues. The first part, ""Never spoke a word during the massacre,"" suggests that during a significant or tragic event, the person or group addressed remained silent or did not take a stand. Now, according to the speaker, they are speaking out on trivial matters, as indicated by ""silly issues niye dorod dekhaite"" (showing seriousness over minor issues). This implies that the speaker believes that these individuals are only now becoming vocal, but about less important matters, showing a lack of genuine concern for critical issues.  The final part, ""Egula upore uthe niche namar jonno,"" which translates to ""These are to rise up and be brought down for,"" hints that the speaker views these actions as attempts to create drama or gain attention rather than addressing real, pressing concerns. It implies that the motivations behind such behavior are superficial, meant to appear significant or relevant without being so. This kind of commentary points to broader social criticism where the public or certain individuals selectively engage with issues, choosing to act when it's convenient or attention-grabbing, instead of when it truly matters."
Chakma,"""কক্সবাজারের চকরিয়ায় যৌথবাহিনীর অভিযান  পরিচালনা করার সময় লেফটেন্যান্ট তানজিম ছরোয়ার  নির্জন (বিএ-১১৪৫৩) নিহত হয়েছে।  রাত আনুমানিক আড়াইটার দিকে একটা সোর্সের বরাত  দিয়ে অস্ত্রসহ স' ন্ত্ৰা' সীর খোঁজ পেয়ে আর্মির একটা টিম  অভিযানে গিয়েছিলো। লে. তানজিম নেগোসিয়েট করতে  এগিয়ে যায়, এক পর্যায়ে কথা কাটাকাটি হইলে গলায় ৩  বার ছু/রি দিয়ে মারাত্মক আঘাত করে। এরপর বাম চোখে  একবার আঘাত করে, একদম চোখের ভেতরে ছু/রি  বসিয়ে দেয়। গলার আঘাত বেশি গভীর হওয়ায় ব্লিডিং হয়  প্রচুর। সিএমএইচ এ আনার আগেই মা/রা গেছেন।  আল্লাহ তোমাকে বেহেশত নসীব করুন।  আমাদের পার্বত্য চট্টগ্রাম বাসী আসলে কি চায়?""  ","The statement details a tragic incident involving Lieutenant Tanzim Sarwar, who was killed during a joint security operation in the Chakaria region of Cox's Bazar. The narrative describes how the operation, conducted around 2:30 a.m., aimed to apprehend an armed suspect based on an informant's tip. Lieutenant Tanzim attempted to negotiate with the suspect, but an altercation escalated into violence, resulting in multiple fatal knife wounds, including severe injuries to the neck and eye. Despite efforts to treat him at the CMH (Combined Military Hospital), he succumbed to his injuries before arrival. The final lines express sorrow for the loss and raise a rhetorical question about the desires and aspirations of the people of the Chittagong Hill Tracts, hinting at underlying tensions or issues within the region.     "
Chakma,"""আন্দোলন সফল, তবে আংশিক   ২৪ ঘন্টার যুদ্ধ শেষে সংবিধান সংশোধন কমিটি থেকে বাদ  পড়ল কুখ্যাত ব্যারিস্টার দেবাশীষ রায়। তাকে সরানোর  জন্য লবিং,নিউজ,লেখালেখি বাদ যায় নি কিছুই, সর্বোশক্তি  দিয়ে ঝাপিয়ে পড়েছিলাম আমরা।   কৃতজ্ঞ: পার্বত্য চট্টগ্রাম ছাত্র পরিষদ""   "," This statement reflects the partial success of an organized movement led by the Parbatya Chattogram Chhatra Porishod (Hill Tracts Student Council) to remove a controversial figure, barrister Debashish Roy, from the constitutional amendment committee. The activists consider their effort a victory, albeit not a complete one, as the main goal of excluding him was achieved after 24 hours of relentless action. The movement involved extensive lobbying, media coverage, and written advocacy, showcasing the dedication and determination of those involved in pushing for their cause.  The statement conveys that the activists put forth all their resources and energy to ensure the removal of Debashish Roy, who was considered notorious and possibly unsuited for the committee's work. The expression of gratitude at the end, ""কৃতজ্ঞ: পার্বত্য চট্টগ্রাম ছাত্র পরিষদ,"" signifies their appreciation for the collective effort that led to this result. It also hints at deeper issues regarding representation and influence in political matters concerning the Chittagong Hill Tracts, underscoring the significance of such movements in advocating for regional interests."
Hindu,আলহামদুলিল্লাহ প্রায় ৩০০ বছরের পূর্ব থেকে সংগঠিত কুন্ডু বাড়ির মেলা আর কোনো দিন সংগঠিত হবেনা। ইনশাল্লাহ।,"মাদারীপুরের কালকিনিতে বন্ধ করে দেওয়া হলো শত বছরের ঐতিহ্যবাহী কুন্ডুবাড়ির মেলা। প্রায় আড়াই শ বছরের পুরোনো এ মেলা প্রতি বছর কালিপূজায় সপ্তাহব্যাপী অনুষ্ঠিত হলেও এ বছর তা আর হচ্ছে না।

উপজেলা প্রশাসনের দাবি, স্থানীয় জনগণ ও আলেম সমাজ এ মেলা আয়োজনে আপত্তি জানায়। এ কারণে প্রশাসন মেলা আয়োজনে অনুমতি দেয়নি।


বিষয়টি নিশ্চিত করে কালকিনি উপজেলা নির্বাহী কর্মকর্তা উত্তম কুমার দাশ বলেন, ‘কালকিনি উপজেলার ভুরঘাটার কুন্ডুবাড়ির ঐতিহ্যবাহী কালিপূজাকে কেন্দ্র করে মূলত সপ্তাহব্যাপী মেলা অনুষ্ঠিত হয়ে আসছিল। এ মেলা এবারও অনুষ্ঠানের জন্য কালকিনি পৌরসভা থেকে আকবর হোসেন নামের এক ব্যক্তিকে ইজারা দেওয়া হয়েছিল। কিন্তু স্থানীয় আলেম সমাজ ও ছাত্র প্রতিনিধিরা মেলায় আইন‑শৃঙ্খলার অবনতিসহ বিভিন্ন সমস্যা উল্লেখ করে মেলা বন্ধ করার জন্য লিখিত অভিযোগ দেয়। তাদের অভিযোগের পরিপ্রেক্ষিতে কালকিনি পৌরসভা ও উপজেলা প্রশাসন এবার মেলা আয়োজন বন্ধ করার সিদ্ধান্ত নেয়।’


তবে মেলা বন্ধ থাকলেও মন্দিরটিতে কালিপূজা যথারীতি অনুষ্ঠিত হবে উল্লেখ করে উপজেলা নির্বাহী কর্মকর্তা বলেন, ‘ধর্মীয় রীতি অনুযায়ী কুন্ডুবাড়ির কালিপূজা যথারীতি অনুষ্ঠিত হবে। তবে পূজাকে কেন্দ্র করে হওয়া শুধু মেলা বন্ধ থাকবে।’

এ বিষয়ে মেলা আয়োজনের ইজারাদার আকবর হোসেন বলেন, ‘প্রায় আড়াই শ বছর ধরে কুন্ডুবাড়ির মেলা হয়ে আসছে। কেউ কোনোদিন প্রশ্ন তোলেনি। কিন্তু এবার প্রশাসনের কাছে আলেম সমাজ আইন‑শৃঙ্খলা পরিস্থিতির অবনতি হওয়ার আশঙ্কা করে মেলা না করার জন্য লিখিত অভিযোগ দিয়েছে। কিন্তু তারা আমার কাছে এসে বলেছে, হিন্দুদের মেলায় মুসলমানরা যাবে না। তাই এখানে মেলা করা যাবে না। আমাকে তারা মেলা না করার জন্য নিষেধ করেছে।’


মেলা না হওয়ায় আর্থিক লোকসানের মুখে পড়বেন জানিয়ে ইজারাদার আকবর হোসেন আরও বলেন, ‘আমি পৌরসভা থেকে মেলার ইজারা নিয়ে কয়েক শ দোকানির কাছে জায়গা বরাদ্দ দিয়েছি। এসব দোকানিরা ঋণ করে লাখ লাখ টাকার মালামাল মেলায় বিক্রির জন্য প্রস্তুতি গ্রহণ করেছে। এখন এই মেলা না হলে এসব দোকানি ঋণের জালে জড়িয়ে পড়বে। তাছাড়া আমারও আর্থিক অনেক ক্ষতি হবে। আমি এ বিষয়ে দ্রুতই পৌর কর্তৃপক্ষের কাছে ক্ষতিপূরণ চেয়ে আইনি পদক্ষেপ গ্রহণ করবো।’

মেলা না হওয়ার ব্যাপারে জানতে চাইলে মন্দির কমিটির উপদেষ্টা বাসু দেব কুণ্ডু বলেন, ‘দিপাবলী ও শ্রী শ্রী কালিপূজা উপলক্ষে আমাদের পূর্বপুরুষরা এই মেলা আয়োজন করে আসছেন। এবার মেলা কারা বন্ধ করে দিয়েছে–এটি আপনারা খুঁজে বের করুন। বাজারে কারা ব্যানার টাঙিয়েছে মেলা না করার জন্য–সেটা খুঁজে বের করার দায়িত্ব আপনাদের। আর বেশি কিছু বলে আমরা বিপদে পড়তে চাই না।’"
Hindu,"বুয়েটে দীপাবলি উপলক্ষে প্রদীপ দিয়ে ""জয় শ্রী রাম"" লেখাকে ভারতীয় রাজনৈতিক শ্লোগানের সঙ্গে তুলনা করে বিভিন্ন ধরনের নিন্দা সমালোচনা ও ষড়য’ন্ত্র করার পায়তারা করছে একটি গোষ্ঠী । জয় শ্রীরাম শ্লোগান সাম্প্রতিক সময়ে রাজনৈতিক ইস্যু নিয়ে তৈরি করা।"," দীপাবলি উদযাপন মূলত সনাতনীদের আরাধ্য ভগবান শ্রীরামচন্দ্রের লঙ্কা বিজয় করে অযোধ্যা আগমনকে স্মরণ করে করা হয়। শ্রীরামচন্দ্র আমাদের ভগবান। আমাদের ভগবানকে আমরা জয়ধ্বনি দিয়ে স্বাগত জানাতেই পারি। ""জয় শ্রী রাম"" বলে স্বাগত জানানো স্বাভাবিক বিষয়। অযোধ্যাবাসীগণও ১৪ বছর পর রামচন্দ্রের আগমণে জয় শ্রীরাম বলে স্বাগত জানিয়েছেন। প্রদীপ জ্বালিয়েছিলেন সমস্ত অযোধ্যায়। 
ইতিহাস থেকেও প্রমাণিত ""জয় শ্রী রাম"" ধ্বনী শ্রীহনুমানও দিয়েছিলো। তার একটি প্রমাণ ছবিতে সংযুক্ত করা হলো। যা বাল্মিকী রামায়নের সুন্দরকান্ডের ৪২ নং সর্গে উদৃত হয়েছে। তাই লক্ষ লক্ষ বছর আগ থেকেই অর্থাৎ সেই ত্রেতা যুগ থেকে এই শ্লোগান প্রচলিত হয়ে আসছে ভগবান শ্রীরামচন্দ্রের যেকোনো উৎসব ও কার্যের সাথে। 
বুয়েটে দীপাবলিতে প্রদীপ জ্বালিয়ে ""জয় শ্রী রাম"" লিখা হয়েছে কেবল সনাতনীদের আরাধ্য ভগবান শ্রীরামচন্দ্রকে স্মরণ করেই। এর বেশি কিছু নয়।
আরেকটি কথা কেউ সেটিকে রাজনৈতিক শ্লোগান হিসেবে ব্যাবহার করছে বা ভগবানের রামচন্দ্রের নাম করে ধান্দামি করছে বলে সমস্ত সনাতনীরা আরাধ্য ভগবানকে পূজা, সন্মান ও স্বাগত জানাতে সেটি বলতে পারবো না?
তারমানে আমরা কিভাবে পূজা করবো সে বিষয়ে আপনি সিদ্ধান্ত দিবেন ? 
নিশ্চয় অন্যের ধর্ম নিয়ে বাড়াবাড়ি করা চরম অন্যায়। আমাদের  ধর্ম আমাদের শান্তিতে পালন করতে দিন। এখানে নাক গলানোর দরকার নেই!
রাম শব্দের অর্থ আনন্দ, শান্তি, শৃঙ্খলা। আমরা তাঁকে ""জয় শ্রী রাম"" বলে স্মরণ করে সেই শান্তি, আনন্দ ও শৃঙ্খলাকেই প্রত্যাশা করি বারংবার! 
শ্রীরামচন্দ্র সমগ্র সনাতনীদের ভগবান, সমগ্র সনাতনীদের আরাধ্য দেব, সমগ্র সনাতনীদের গৌরব ও অনুসরণীয়। তাই ""জয় শ্রীরাম"" শব্দটি রাজনৈতিক শ্লোগান নয়, এটি সমগ্র সনাতনীদের ধর্মীয় আবেগের বহিঃপ্রকাশ।"
Hindu,"শিব ৬০,০০০ বিবাহ করেছিল। সে মারা যাবার পর তার লিঙ্গকে পূজা করা হয়, একজন শিষ্টাচার হিন্দু কোন যুক্তিকতায় তার স্ত্রীর দুধ দিয়ে শিবের গোপন অঙ্গ ধৌত করে? এটা কি সৃষ্টিকর্তার বৈশিষ্ট্য? এমন কুরুচিপূর্ন আদেশ সৃষ্টিকর্তা দিতে পারেন কি?
","এই দাবিটা কোথা থেকে পেয়েছে তার কোনো সূত্র নেই, শিব ৬০ হাজার বিবাহ করেছিল এটা কোন শাস্ত্রে আছে তা এরা উল্লেখ করেনি। কীভাবে করবে? এই ৬০ হাজার বিবাহের কোনো গল্প কোনো পুরাণে নেই। শিব পার্বতীকে বিবাহ করেছিল। পার্বতী, সতী, উমা ইত্যাদি যেসকল নাম পুরাণে পাওয়া যায় সেগুলো একজনই। জন্মান্তর বা ভিন্নরূপের উপস্থাপন। এখানে বহু নারী নেই।



সৌরপুরাণ ৫৮/১৪-১৫ তে স্পষ্ট উল্লেখ আছে-



গৃহীহেতি শিবঃ প্রাহ পার্ব্বতী পর্ব্বতেশ্বরম্।

তদ্ধস্তে ভগবান্ শম্ভুরঙ্গুলীয়ং প্রবেশয়েৎ।। ১৪

ইমঞ্চ কলসং হৈমমাদায় ত্বং নগোত্তম।

যাহি গত্বা ত্বনেনৈব তামুমাং স্নাপায় ত্বরা।। ১৫



বঙ্গানুবাদ: শম্ভু, পর্ব্বতেশ্বরকে কহিলেন- আমি পার্বতীকে গ্রহণ করিলাম। পরে দেবীর হস্তে একটি অঙ্গুরীয় প্রদান করিয়া নগোত্তমকে কহিলেন, আপনি এই হৈম কলস লইয়া গিয়া সত্ত্বর ইহা দ্বারা সেই উমাকে স্নান করাইয়া দিবেন।

এখানে দুটি শ্লোকে একই চরিত্রের দুটি নাম রয়েছে। এভাবে ভিন্ন ভিন্ন স্থানে ভিন্ন ভিন্ন নাম পাওয়া যায়। আর ৬০ হাজার স্ত্রীর কোন উল্লেখ পুরাণে নেই।"
Hindu,"শিব তার নিজের ছেলে গনেশকে চিনতে পারেনি, গর্দান কেটে ফেলেছিলেন, তাহলে তিনি তার সৃষ্টিকে কি করে চিনবেন? ভুলে যাওয়া কি সৃষ্টিকর্তার বৈশিষ্ট্য?","একজন পিতা তার সন্তানকে চিনবে না, এরকম ধারণা করাটাও হাস্যকর। তবুও তাদের প্রশ্নের উত্তরটা দিবে কেবল একটা টপিকে, “শিব কি গণেশকে চিনতো না কি চিনতো না?” কে কার মস্তক ছিন্ন করলো এই প্রসঙ্গে যাবে না। কেবল প্রমাণ করে দিচ্ছি শিব গণেশকে জন্মের পর থেকে চিনতো।



লিঙ্গপুরাণ, পূূর্ব্বভাগ, ১১৫তম অধ্যায়ের ১১-১৪ তম শ্লোকে উল্লেখ আছে-

সর্বেশ্বর ভগবান ভবপুত্রকে জাতমাত্র অবলোকন করিয়া তদুদ্দেশে কর্তব্য জাত-কর্ম্মানি সংস্কার স্বয়ং করিলেন। তারপর জগদীশ্বর সুকোমল হস্তদ্বারা তনয়কে গ্রহণ করিয়া আলিঙ্গন করত মস্তকে চুম্বন করিলেন।
এই থেকে প্রমাণ হয়, গণেশের জন্মের পরই শ্রীশিব তাকে চিনতেন।"
Hindu,দেবদাসীর ও যোগিনীর মত পতিতা চরিত্রের সাথে ভগবান ও ব্রাহ্মনগণ কি করে অশ্লীলকর্মে লিপ্ত হন? যদি তারা প্রকৃতার্থে ভগবান হয়ে থাকেন?,"এই তথ্যটিরও কোনো রেফারেন্স নেই। যোগিনী অথচ পতিতাবৃত্তি করেছিল এরকম কোনো বিখ্যাত নারী সনাতন ধর্মগ্রন্থে নেই। এরপরের দাবী “ভগবান ও ব্রাহ্মণগণ কি করে সেই পতিতার সাথে অশ্লীলকর্মে লিপ্ত হলো?” পাঠকগণ এখানে লক্ষ্য করে দেখুন, এখানে ভগবান বা ব্রাহ্মণদের কারো নামগন্ধ নেই। যদি ধরে নেই কোনো ব্রাহ্মণ কোনো পতিতার সাথে অশ্লীল কর্ম করে তাতে সনাতন ধর্মের কি দোষ? সনাতন ধর্ম কি কোনো নির্দিষ্ট ব্রহ্মণের উপর নির্ভরশীল? সনাতন ধর্ম ঈশ্বর প্রেরিত বেদাদি শাস্ত্র এবং শ্রীগীতার আলোকে পরিচালিত হয়। মানুষের মধ্যে যদিও কেউ খারাপ কাজ করে তবে ধর্মের দোষ দিয়ে লাভ নেই। কারণ সনাতন ধর্ম সর্বদাই মানুষকে সঠিক পথে চলতে উপদেশ দেয়।"
Hindu,"অশ্লীল ভঙ্গিমায় উলঙ্গ নারী, মুখে ও দাঁতে রক্ত ও হাতে রক্তাক্ত তলোয়ার কি করে সৃষ্টিকর্তা হতে পারে? উদাহরন- দূর্গা।","সনাতন শাস্ত্রে দূর্গা শব্দটিকে বিশ্লেষন করা হয়েছে এভাবে-



দৈত্যনাশার্থবচনো দকারঃ পরিকীর্তিতঃ। উকারো বিঘ্ননাশস্য বাচকো বেদসম্মত।। রেফো রোগঘ্নবচনো গশ্চ পাপঘ্নবাচকঃ। ভয়শত্রুঘ্নবচনশ্চাকারঃ পরিকীর্তিত।।


অর্থাৎ, ‘দ’ অক্ষরটি দৈত্য বিনাশ করে, উ-কার বিঘ্ন নাশ করে, রেফ রোগ নাশ করে, ‘গ’ অক্ষরটি পাপ নাশ করে এবং অ-কার শত্রু নাশ করে। এর অর্থ- দৈত্য, বিঘ্ন, রোগ, পাপ ও শত্রুর হাত থেকে যিনি রক্ষা করেন, তিনিই দুর্গা।



অন্যদিকে শব্দকল্পদ্রুম বলেছে, “দুর্গং নাশয়তি যা নিত্যং সা দুর্গা বা প্রকীর্তিতা”। অর্থাৎ, যিনি দুর্গম নামক অসুরকে বধ করেছিলেন, তিনি সব সময় দুর্গা নামে পরিচিত। শ্রীশ্রী চণ্ডীতেও এটি উল্লেখ রয়েছে।



তারা যে চরিত্রটির উল্লেখ করেছেন সেটি সম্ভবত কালী। কালী, যিনি কালকে গ্রাস করেন। অর্থাৎ এমন এক শক্তি যা সময় এবং ব্রহ্মাণ্ডকে গ্রাস করেন। এর সাথে মিলিয়ে একটি চরিত্র নির্মাণ হয় যার নাম কালী। আসলে যারা মূর্তির মধ্যে যৌনতা খোঁজে আর দর্শন সম্পর্কে ধারণা নেই, তারাই এরকম মূর্খের ন্যায় প্রশ্ন করে।
"
Hindu,"কৃষ্ণা যদি সৃষ্টিকর্তা হয় তবে সে কেন তার মামীর সাথে অবৈধ সম্পর্ক রাখলো? তবে কি সৃষ্টিকর্তা মানুষের সাথে এমন অবৈধ কর্মে লিপ্ত হয় যা তার নিজেরই আইনের বর্হিভূত?
","কৃষ্ণা কে? কৃষ্ণকে কৃষ্ণা বানিয়ে দিয়েছে। যাইহোক, শ্রীকৃষ্ণ কখনো মামীর সাথে প্রেম করেনি। আমরা সকলেই এই কথাটা ভালো করেই জানি যে শ্রীকৃষ্ণ দেবকী এবং বসুদেবের সন্তান রুপে এই ধরাধামে অবতীর্ণ হন। (শ্রীমদ্ভাগবত পুরাণ: ১০/৩/৮) 



যিনি দেবকীর ভাই তিনিই শ্রীকৃষ্ণের মামা এটাই স্বাভাবিক। দেবকী ছিলেন দেবক এর কন্যা (ভাগবত-১০/১/৩১) এবং কংস ছিলেন দেবকীর কাকাতো ভাই (ভাগবত- ১০/১/৩০)। কংসের ছিল দুই স্ত্রী অস্তি এবং প্রাপ্তি। এই অস্তি এবং প্রাপ্তির সাথে শ্রীকৃষ্ণের কখনো প্রেমময় সম্পর্ক ছিল না।



আর বাকী থাকে রাধা, রাধার সঙ্গে কংসের বিবাহ হয়নি সেটা উপরের ব্যখ্যা থেকেই জেনেছি, কেননা রাধার সঙ্গে কংসের কোনো দিন দেখাই হয়নি। এরচেয়ে বেশি আলোচনা করলাম না। কারণ তাহলে অন্যান্য চরিত্রও অবার্চিন প্রমাণিত হতে থাকবে। বঙ্কিমচন্দ্র চট্টোপাধ্যায়ের কৃষ্ণচরিত্র পড়ে নিবেন।"
Hindu,"কিভাবে রাম সৃষ্টিকর্তা হতে পারে কারণ সে প্রয়োজনে খাবার খেয়েছে, ঘুম গেছে, বিয়ে করেছে দৈহিক তাড়নায়, রাম নিজের স্ত্রীকে সন্দেহ করেছে এসব কি সৃষ্টিকতার কর্ম? যদি রাম সৃষ্টিকর্তাই হন কেন তিনি হনুমানের সাহায্য চাইবেন? তাহলে কি সৃষ্টিকর্তার ক্ষমতার কমতি আছে?","পুরাণ অনুসারে, শ্রীরাম হচ্ছে ঈশ্বরের ৭ম অবতার। তিনি মানুষ রুপে পৃথিবীতে জন্মগ্রহন করেছিলেন। সুতরাং মানুষের মত কাজকর্ম শ্রীরাম করেছিলেন। এছাড়া বিবেচনাত্মক দৃষ্টিতে তিনি বৈদিক দৃষ্টিকোন অনুসারে তিনি ঈশ্বর নন, মুক্ত পুরুষ। এবার আসি শ্রীরাম মাতা সীতাকে সন্দেহ করেছিল কি না?



বহু গবেষকদের মতে বাল্মীকি রামায়নের সমগ্র উত্তরকাণ্ড অংশটি বহুপরে সংযোজন করা হয়েছে। অর্থাৎ প্রক্ষিপ্ত অংশ। এই হিসাবে এই বিষয় নিয়ে কোনো আলোচনার প্রয়োজন হয় না। তবুও এই সকল অজ্ঞানীদেরকে সেই প্রক্ষিপ্তপাঠ থেকেই জবাব দেওয়া সম্ভব।



पश्यतस्तां तु रामस्य समीपे हृदयप्रियाम् | जनवादभयाद्राज्ञो बभूव हृदयं द्विधा|| (६-११५-११)


বাল্মীকি রামায়ণ (৬/১১৫/১১)- এই শ্লোক অনুসারে শ্রী রাম লক্ষ্য করলেন সীতা দেবীকে নিয়ে কিছু লোক কুত্সা রটিয়ে বেড়াচ্ছে, এর জন্য সীতা দেবী মন মলিন হয়ে আছে।



पृथक्स्त्रीणां प्रचारेण जातिं त्वं परिशङ्कसे | परित्यजेमां शङ्कां तु यदि तेऽहं परीक्षिता || (६-११६-७)


বাল্মীকি রামায়ণ (৬/১১৬/১৭)- এই শ্লোক অনুসারে শ্রী রাম সীতা দেবীকে বুজাচ্ছেন, এক অভদ্র মহিলার আচরণ দ্বারা তুমি দুঃখী হইয়ো না।



त्वया तु नरशार्दूल क्रोधमेवानुवर्तता | लघुनेव मनुष्येण स्त्रीत्वमेव पुरस्कृतम् || (६-११६-१४)


বাল্মীকি রামায়ণ (৬/১১৬/১৪)- এই শ্লোক অনুসারে সীতা দেবী শ্রী রামকে বুঝাচ্ছেন তিনি দুর্বল ও আবেগে এই সিদ্ধান্ত নিচ্ছেন ও womanliness অগ্রাধিকার দিয়েছেন।



चितां मे कुरु सौमित्रे व्यसनस्यास्य भेषजम् |

मिथ्यापवादोपहता नाहं जीवितुमुत्सहे || (६-११६-१८)



বাল্মীকি রামায়ণ (৬/১১৬/১৮)- এই শ্লোক অনুসারে সীতা দেবী মিথ্যা দোষারোপ থেকে মুক্ত হবার জন্য লক্ষ্মণকে আদেশ দিচ্ছে আগুনের চিতা তৈরী করার জন্য। 



এখানে শ্রীরামের দোষ কোথায়? শ্রীরাম সন্দেহ করেছেন এমন কথার উল্লেখ এই প্রক্ষিপ্ত অংশ বা মূল রামায়ণের কোন অংশে নেই। সেই সময়ে রাজাগণ ৩-৪টি করে বিবাহ করতেন। কিন্তু শ্রীরামের আদর্শ এতটাই মহৎ যে সেই সমাজে বেড়ে উঠেও তিনি কেবল একজনকেই ভালোবেসেছিলেন। নিজের অর্ধাঙ্গিনীরূপে কেবল মাতা সীতাকেই বিবাহ করেছিলেন। আর শ্রীরাম হনুমানের কাছে সাহায্য চাননি, বরং হনুমান শ্রীরামকে সাহায্য করার জন্য এগিয়ে এসেছিলেন। কারণ হনুমান রামভক্ত ছিলেন।
"
Hindu,রাম হনুমানের দুই ভাইকে কেন অকারনে খুন করলেন যেখানে রামের সাথে তাদের কোন শত্রুতা ছিলনা? সৃষ্টিকর্তা হয়ে অপরাধ করা কি সম্ভব?,"রাম হনুমানের ভাইকে হত্যা করেননি। হত্যা করেছেন সুগ্রীবের ভাই বালিকে। কারণ বালি সুগ্রীবের স্ত্রীকে আটকে রেখেছিলো এবং সুগ্রীবকে ধন সম্পত্তি থেকে বঞ্চিত করেছিল। বালি ছিল একজন দুরাচারী শাসক।
"
Hindu,রাবন যদি শয়তান হয়ে একদিনে লঙ্কায় পৌঁছাতে পারে তবে রাম সৃষ্টিকর্তা হয়ে কেন ১২ বছর লাগলো তাও আবার হনুমানের সাহায্যে? শয়তানের শক্তি সৃষ্টির্কতা হতে কি করে বেশি হওয়া সম্ভব?,শ্রীরাম সমুদ্র পার হয়েছেন সমগ্র বানর সেনা নিয়ে। বানর সেনারা শ্রীরামকে যুদ্ধে সহায়তা করতে চেয়েছিল। আর সমুদ্র পার হতে ১২ বছর লাগেনি। শ্রীরাম ১৪ বছরের জন্য বনবাসে গিয়েছিলেন। বাল্মীকি রামায়ণ: অযোধ্যা কান্ড/১১/২৬।
